date,value
31/01/1997,65.56999999999998
28/02/1997,40.86000000000001
31/03/1997,37.81
30/04/1997,44.72
31/05/1997,47.209999999999994
30/06/1997,46.269999999999996
31/07/1997,48.169999999999995
31/08/1997,52.31999999999999
30/09/1997,60.54999999999999
31/10/1997,70.7
30/11/1997,54.140000000000015
31/12/1997,51.650000000000006
31/01/1998,41.82000000000001
28/02/1998,42.349999999999994
31/03/1998,49.31999999999999
30/04/1998,50.980000000000004
31/05/1998,42.82
30/06/1998,47.68
31/07/1998,47.68000000000001
31/08/1998,38.87999999999999
30/09/1998,42.37
31/10/1998,42.07000000000001
30/11/1998,40.33000000000001
31/12/1998,37.88000000000001
31/01/1999,35.14
28/02/1999,33.65
31/03/1999,41.209999999999994
30/04/1999,45.15
31/05/1999,45.2
30/06/1999,50.69
31/07/1999,48.449999999999996
31/08/1999,61.480000000000004
30/09/1999,53.47
31/10/1999,57.28999999999999
30/11/1999,47.34
31/12/1999,49.459999999999994
31/01/2000,46.00999999999999
29/02/2000,53.18999999999999
31/03/2000,61.449999999999996
30/04/2000,57.78999999999999
31/05/2000,78.91
30/06/2000,94.43
31/07/2000,79.80000000000001
31/08/2000,101.88000000000001
30/09/2000,101.12
31/10/2000,110.49000000000002
30/11/2000,110.49000000000001
31/12/2000,178.0
31/01/2001,171.63000000000002
28/02/2001,106.51999999999998
31/03/2001,115.06999999999998
30/04/2001,103.84000000000002
31/05/2001,92.21000000000001
30/06/2001,78.13
31/07/2001,65.29
31/08/2001,68.26000000000002
30/09/2001,41.63999999999999
31/10/2001,56.6
30/11/2001,46.84999999999998
31/12/2001,43.73999999999998
31/01/2002,48.67000000000001
28/02/2002,44.150000000000006
31/03/2002,60.57000000000001
30/04/2002,75.38999999999999
31/05/2002,76.96000000000001
30/06/2002,65.22999999999999
31/07/2002,62.730000000000004
31/08/2002,67.93
30/09/2002,70.98
31/10/2002,94.91
30/11/2002,76.82000000000001
31/12/2002,99.56000000000002
31/01/2003,114.08
28/02/2003,146.45
31/03/2003,124.60000000000001
30/04/2003,110.52999999999999
31/05/2003,122.09000000000002
30/06/2003,122.18999999999998
31/07/2003,110.58000000000001
31/08/2003,104.68
30/09/2003,97.02999999999997
31/10/2003,106.42000000000004
30/11/2003,80.46000000000001
31/12/2003,128.68
31/01/2004,116.64000000000001
29/02/2004,102.00999999999998
31/03/2004,124.05999999999996
30/04/2004,119.89
31/05/2004,126.67000000000003
30/06/2004,131.67999999999998
31/07/2004,124.56
31/08/2004,118.94000000000001
30/09/2004,108.05
31/10/2004,133.42
30/11/2004,123.3
31/12/2004,138.11
31/01/2005,123.0
28/02/2005,116.61999999999999
31/03/2005,153.12000000000003
30/04/2005,150.32999999999998
31/05/2005,135.92000000000002
30/06/2005,158.01999999999995
31/07/2005,152.57
31/08/2005,219.25
30/09/2005,176.18
31/10/2005,228.18
30/11/2005,206.07999999999996
31/12/2005,274.0299999999999
31/01/2006,173.72
28/02/2006,143.19
31/03/2006,158.43
30/04/2006,136.11
31/05/2006,137.39
30/06/2006,136.62
31/07/2006,117.19999999999999
31/08/2006,164.11
30/09/2006,97.92
31/10/2006,128.62999999999997
30/11/2006,148.09000000000003
31/12/2006,134.67000000000002
31/01/2007,137.59
28/02/2007,152.03
31/03/2007,156.37
30/04/2007,152.01000000000002
31/05/2007,168.01999999999998
30/06/2007,154.27
31/07/2007,130.58999999999997
31/08/2007,143.01
30/09/2007,115.51
31/10/2007,155.09
30/11/2007,149.14999999999998
31/12/2007,142.09
31/01/2008,167.69
29/02/2008,170.88000000000002
31/03/2008,188.26
30/04/2008,223.99
31/05/2008,236.64999999999998
30/06/2008,266.39
31/07/2008,243.94999999999996
31/08/2008,173.39
30/09/2008,161.14999999999998
31/10/2008,154.94000000000005
30/11/2008,126.99000000000001
31/12/2008,127.93999999999998
31/01/2009,104.81
28/02/2009,85.78
31/03/2009,87.10999999999999
30/04/2009,73.39
31/05/2009,76.64999999999999
30/06/2009,83.60999999999999
31/07/2009,74.44
31/08/2009,65.96
30/09/2009,62.720000000000006
31/10/2009,88.16999999999999
30/11/2009,73.25999999999998
31/12/2009,117.65
31/01/2010,110.81000000000002
28/02/2010,101.08000000000001
31/03/2010,98.69000000000001
30/04/2010,84.71
31/05/2010,82.8
30/06/2010,105.63000000000002
31/07/2010,97.16000000000001
31/08/2010,94.92999999999999
30/09/2010,81.77999999999999
31/10/2010,72.11999999999999
30/11/2010,77.99
31/12/2010,93.46999999999998
31/01/2011,89.87
28/02/2011,77.76
31/03/2011,91.39999999999998
30/04/2011,84.7
31/05/2011,90.53000000000002
30/06/2011,99.81000000000003
31/07/2011,88.47
31/08/2011,93.26
30/09/2011,81.82000000000001
31/10/2011,74.87999999999998
30/11/2011,68.01
31/12/2011,66.55999999999999
31/01/2012,53.41
29/02/2012,50.089999999999996
31/03/2012,47.78000000000001
30/04/2012,38.900000000000006
31/05/2012,53.5
30/06/2012,51.56000000000001
31/07/2012,62.02000000000001
31/08/2012,65.28
30/09/2012,54.11000000000001
31/10/2012,76.30000000000003
30/11/2012,74.35000000000001
31/12/2012,66.83000000000001
31/01/2013,69.9
28/02/2013,63.26999999999999
31/03/2013,76.19
30/04/2013,91.66
31/05/2013,88.91000000000001
30/06/2013,76.52
31/07/2013,79.70000000000002
31/08/2013,75.35999999999999
30/09/2013,72.40000000000002
31/10/2013,84.58999999999999
30/11/2013,72.76000000000002
31/12/2013,89.02000000000001
31/01/2014,98.98
28/02/2014,114.00999999999998
31/03/2014,102.97000000000001
30/04/2014,97.81000000000002
31/05/2014,96.21999999999998
30/06/2014,96.33999999999999
31/07/2014,89.12
31/08/2014,82.16000000000001
30/09/2014,82.4
31/10/2014,86.97999999999998
30/11/2014,78.33
31/12/2014,76.6
31/01/2015,59.89000000000001
28/02/2015,54.620000000000005
31/03/2015,62.279999999999994
30/04/2015,54.78999999999999
31/05/2015,57.00000000000001
30/06/2015,61.239999999999995
31/07/2015,65.31
31/08/2015,58.25
30/09/2015,58.539999999999985
31/10/2015,51.499999999999986
30/11/2015,43.940000000000005
31/12/2015,44.38
31/01/2016,47.93
29/02/2016,41.77
31/03/2016,39.74999999999999
30/04/2016,40.290000000000006
31/05/2016,42.290000000000006
30/06/2016,56.9
31/07/2016,59.27999999999998
31/08/2016,64.95
30/09/2016,65.86
31/10/2016,62.54999999999999
30/11/2016,56.089999999999996
31/12/2016,79.00999999999999
31/01/2017,72.69999999999997
28/02/2017,57.06000000000001
31/03/2017,66.23
30/04/2017,62.04000000000001
31/05/2017,72.44
30/06/2017,65.46000000000001
31/07/2017,62.67000000000001
31/08/2017,66.73
30/09/2017,62.49
31/10/2017,63.33
30/11/2017,66.3
31/12/2017,56.449999999999996
31/01/2018,77.51
28/02/2018,50.739999999999995
31/03/2018,56.550000000000004
30/04/2018,58.720000000000006
31/05/2018,61.620000000000005
30/06/2018,62.31000000000001
31/07/2018,59.48
31/08/2018,68.11999999999999
30/09/2018,56.91
31/10/2018,75.33000000000001
30/11/2018,81.82
31/12/2018,72.75
31/01/2019,65.27999999999999
28/02/2019,51.160000000000004
31/03/2019,61.919999999999995
30/04/2019,55.58999999999999
31/05/2019,58.06
30/06/2019,47.97000000000002
31/07/2019,49.68999999999999
31/08/2019,48.86
30/09/2019,51.179999999999986
31/10/2019,53.61999999999999
30/11/2019,50.599999999999994
31/12/2019,46.71000000000002
31/01/2020,16.64
